id,table_index,stock_date,sold_date,stock_displayed_date,ticker,stock_price,prev_close,todays_open,sample_period_14,stock_trend_30,stock_trend_14,macd_trend_30,macd_trend_14,money_flow_trend_30,money_flow_trend_14,week_1,week_1_min,week_1_max,week_2,week_2_min,week_2_max,week_3,week_3_min,week_3_max,week_5,week_5_min,week_5_max,week_1_color,week_2_color,week_3_color,week_5_color,gap_1,gap_2,gap_3,updading_gap_1_flag,gap_1_color,gap_2_color,gap_3_color,macd_30_clash,macd_14_clash,macd_30_color,macd_14_color,mfi_30_clash,mfi_14_clash,mfi_30_color,mfi_14_color,rsi,rsi_color,earnings_call,earnings_call_displayed,earnings_warning,dividend_date,dividend,dividend_warning,stock_alarm,stock_alarm_delta,stock_initial_price,stock_current_price,stock_load_price,stock_price_up_alarm,stock_price_down_alarm,stock_alarm_trigger_set,stock_alarm_sound_on_off,stock_alarm_1,stock_alarm_2,stock_alarm_3,stock_alarm_4,stock_alarm_5,stock_alarm_6,stock_alarm_7,stock_alarm_8,stock_alarm_9,stock_alarm_10,stock_alarm_1_color,stock_alarm_2_color,stock_alarm_3_color,stock_alarm_4_color,stock_alarm_5_color,stock_alarm_6_color,stock_alarm_7_color,stock_alarm_8_color,stock_alarm_9_color,stock_alarm_10_color,stock_email_alert,saved_to_history,stocks_bought,purchase_price,stocks_sold,selling_price,profit,dividends,total_profit
72,1,2021-09-14 05:54:37,,14/09/2021,JNJ,165.8,166.97,167.92,0,-0.16,-0.57,-0.04,-0.05,-3.33,0.47,4.53,165.13,179.92,6.64,165.13,175.22,4.86,165.13,178.93,4.53,165.13,179.92,green,#6cbf6c,green,#6cbf6c,0.57,,,0,,,,0,0,green,green,0,1,green,red,16.61,red,,19/10/2021,,,,,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2,2021-08-11 13:09:54,,11/08/2021,UL,57.09,57.09,57.17,0,-0.11,0.09,-0.02,0.01,0.87,1.74,33.4,55.5,60.26,44.85,56.22,58.16,43.21,55.5,59.18,33.4,55.5,60.26,orange,#f1b55f,orange,#f1b55f,-0.16,,,0,,,,0,0,green,green,1,0,red,green,44.8,orange,,,,28/10/2021,2.012,,0,,,57.17,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,3,2021-08-11 13:09:52,,11/08/2021,UL,57.09,57.09,57.17,0,-0.11,0.09,-0.02,0.01,0.87,1.74,33.4,55.5,60.26,44.85,56.22,58.16,43.21,55.5,59.18,33.4,55.5,60.26,orange,#f1b55f,orange,#f1b55f,-0.16,,,0,,,,0,0,green,green,1,0,red,green,44.8,orange,,,,28/10/2021,2.012,,0,,,57.17,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,3,2021-08-11 13:09:52,,10/07/2021,CNI,107.32,107.31,107.5,0,-0.27,0.05,-0.04,0.0,1.39,2.19,47.99,-1.0,111.71,85.62,-1.0,108.0,85.62,-1.0,108.0,47.99,-1.0,111.71,orange,#dc6460,red,#f1b55f,0.65,,,0,,,,0,0,green,green,1,0,red,green,56.42,orange,,20/7/2021,,07/09/2021,1.56,,0,,,109.29,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,3,2021-08-11 13:09:52,,10/07/2021,WM,143.04,146.98,147.81,0,0.06,0.39,0.01,0.05,2.94,2.26,78.12,-1.0,144.74,73.68,-1.0,144.74,78.12,-1.0,144.74,78.12,-1.0,144.74,red,#dc6460,red,#dc6460,0.54,,,0,,,,0,0,green,green,0,0,green,green,64.8,orange,,27/7/2021,,02/09/2021,2.3,,0,,,146.98,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,3,2021-08-11 13:09:52,,10/07/2021,NSRGY,126.0,123.595,124.23,0,0.05,-0.08,0.0,-0.01,0.12,1.51,43.93,-1.0,128.17,69.11,-1.0,126.76,65.38,-1.0,126.9,43.93,-1.0,128.17,orange,#dc6460,red,#f1b55f,-0.51,,,0,,,,0,0,green,green,0,0,green,green,52.59,orange,,22/7/2021,,18/04/2022,2.99911,,0,,,123.72,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,3,2021-08-11 13:09:52,,10/07/2021,INTC,55.99,53.94,54.1,0,-0.06,0.0,-0.01,0.0,-0.39,1.47,33.06,53.17,58.42,39.47,53.17,57.83,39.47,53.17,57.83,33.06,53.17,58.42,orange,#f1b55f,orange,#f1b55f,0.22,,,0,,,,0,0,green,green,0,0,green,green,46.53,orange,,22/7/2021,,04/11/2021,1.39,,0,,,54.1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,3,2021-08-11 13:09:52,,10/07/2021,JNJ,169.75,173.77,173.72,0,0.03,0.57,0.02,0.07,2.26,2.14,92.77,161.79,170.37,91.71,162.89,170.37,92.77,161.79,170.37,92.77,161.79,170.37,red,#dc6460,red,#dc6460,0.17,,,0,,,,0,0,green,green,0,0,green,green,72.01,green,,21/7/2021,,23/08/2021,4.27,,0,,,173.77,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,3,2021-08-11 13:09:52,,10/07/2021,PG,137.03,142.27,142.08,0,0.04,0.34,0.01,0.04,2.52,2.1,89.14,-1.0,137.65,86.81,-1.0,137.65,89.14,-1.0,137.65,89.14,-1.0,137.65,red,#dc6460,red,#dc6460,0.19,,,0,,,,0,0,green,green,0,0,green,green,72.54,green,,30/7/2021,,21/10/2021,3.4792,,0,,,142.27,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,3,2021-08-11 13:09:52,,10/07/2021,CSCO,53.74,55.61,55.82,0,-0.01,0.04,-0.01,0.0,-0.38,1.56,53.6,51.88,55.35,88.05,52.34,53.93,90.73,51.88,53.93,53.6,51.88,55.35,orange,#dc6460,red,#f1b55f,0.19,,,0,,,,0,0,green,green,0,0,green,green,61.94,orange,,10/8/2021,,04/10/2021,1.48,,0,,,55.78,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,3,2021-08-11 13:09:52,,10/07/2021,PEP,149.48,154.43,154.64,0,0.05,0.35,0.01,0.04,1.65,2.05,79.97,-1.0,150.7,77.66,-1.0,150.7,79.97,-1.0,150.7,79.97,-1.0,150.7,red,#dc6460,red,#dc6460,-0.3,,,0,,,,0,0,green,green,0,0,green,green,65.58,green,,13/7/2021,blink-bg,02/09/2021,4.375,,0,,,154.43,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,3,2021-08-11 13:09:52,,10/07/2021,KO,54.46,56.8,56.85,0,-0.07,-0.01,-0.01,0.0,0.27,1.29,34.21,53.55,56.21,93.81,53.55,54.52,70.0,53.55,54.85,34.21,53.55,56.21,orange,#dc6460,red,#f1b55f,0.22,,,0,,,,0,0,green,green,1,1,red,red,53.29,orange,,21/7/2021,,14/09/2021,1.68,,0,,,56.8,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,3,2021-08-11 13:09:52,,10/07/2021,AEP,85.39,88.75,88.65,0,-0.02,0.22,0.0,0.02,0.46,1.81,81.95,-1.0,86.11,79.49,-1.0,86.11,81.95,-1.0,86.11,81.95,-1.0,86.11,red,#dc6460,red,#dc6460,-0.26,,,0,,,,0,0,green,green,1,0,red,green,59.75,orange,,22/7/2021,,09/11/2021,2.96,,0,,,88.75,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,3,2021-08-11 13:09:52,,10/07/2021,DUK,100.66,106.9,106.7,0,-0.06,0.02,-0.02,0.01,-0.79,1.44,47.91,-1.0,103.9,88.69,-1.0,101.04,65.21,-1.0,102.25,47.91,-1.0,103.9,orange,#dc6460,red,#f1b55f,0.39,,,0,,,,0,0,green,green,0,0,green,green,57.73,orange,,5/8/2021,,12/08/2021,3.94,,0,,,106.9,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,3,2021-08-11 13:09:52,,10/07/2021,PFE,39.61,48.19,45.21,0,0.01,0.02,0.0,0.0,-0.72,1.03,45.05,38.7,40.72,61.72,38.82,40.1,65.0,38.7,40.1,45.05,38.7,40.72,orange,#f1b55f,orange,#f1b55f,0.71,,,0,,,,0,0,green,green,1,0,red,green,58.11,orange,,28/7/2021,,10/11/2021,1.56,,0,,,48.01,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,3,2021-08-11 13:09:52,,10/07/2021,GSK,40.16,40.65,40.69,0,0.05,0.05,0.0,0.01,-1.16,1.65,46.89,-1.0,41.44,66.67,-1.0,40.44,72.9,-1.0,40.58,46.89,-1.0,41.44,orange,#dc6460,red,#f1b55f,0.08,,,0,,,,0,0,green,green,1,0,red,green,55.35,orange,,,PAST,19/08/2021,2.092,,0,,,41.11,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,3,2021-08-11 13:09:52,,10/07/2021,MCD,235.68,233.45,235.79,0,-0.03,0.1,-0.01,0.01,-0.27,1.51,76.31,-1.0,237.81,91.16,-1.0,236.23,92.58,-1.0,236.23,76.31,-1.0,237.81,red,#dc6460,red,#dc6460,0.53,,,0,,,,0,0,green,green,0,0,green,green,62.12,orange,,28/7/2021,,31/08/2021,5.16,,0,,,234.0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1,2021-08-11 13:09:52,,04/02/2021,K,58.56,64.19,63.49,0,-0.13,0.0,-0.02,0.0,1.0,1.02,13.58,-1.0,63.08,13.58,-1.0,63.08,13.58,-1.0,63.08,13.58,-1.0,63.08,green,#6cbf6c,green,#6cbf6c,0.22,,,0,,,,0,0,green,green,1,0,red,green,36.46,orange,,11/2/2021,,31/08/2021,2.32,,0,,,63.45,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1,2021-08-11 13:09:52,,04/02/2021,CPB,45.49,42.51,42.42,0,0.0,0.11,0.01,0.01,1.12,1.44,9.76,-1.0,49.28,9.76,-1.0,49.28,9.76,-1.0,49.28,9.76,-1.0,49.28,green,#6cbf6c,green,#6cbf6c,-0.07,,,0,,,,0,0,green,green,1,0,red,green,43.65,orange,,2/3/2021,,06/10/2021,1.48,,0,,,42.34,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1,2021-08-11 13:09:52,,04/02/2021,SYY,78.37,78.24,75.01,0,0.04,-0.12,-0.01,-0.02,-2.01,1.62,83.51,-1.0,79.96,82.74,-1.0,79.96,83.51,-1.0,79.96,83.51,-1.0,79.96,red,#dc6460,red,#dc6460,-0.4,,,0,,,,0,0,green,green,1,1,red,red,62.53,orange,,3/5/2021,,07/10/2021,1.88,,0,,,73.56,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2,2021-08-11 13:09:54,,04/02/2021,GIS,54.37,58.49,58.05,0,-0.05,0.16,0.0,0.02,0.32,1.24,6.33,53.96,60.44,7.0,53.96,59.82,7.0,53.96,59.82,6.33,53.96,60.44,green,#6cbf6c,green,#6cbf6c,-0.22,,,0,,,,0,0,green,green,1,0,red,green,42.17,orange,,16/3/2021,,07/10/2021,2.04,,0,,,58.67,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2,2021-08-11 13:09:54,,04/02/2021,MO,40.93,48.11,47.33,0,0.01,0.01,0.01,0.0,0.78,1.87,24.03,40.0,43.87,45.81,40.0,42.03,29.25,40.0,43.18,24.03,40.0,43.87,green,#f1b55f,green,#6cbf6c,-0.19,,,0,,,,0,0,green,green,0,0,green,green,58.22,orange,,29/4/2021,,14/09/2021,3.44,,0,,,48.11,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2,2021-08-11 13:09:54,,04/02/2021,PM,81.07,99.96,99.05,0,-0.08,-0.1,-0.02,-0.02,-0.93,1.44,17.93,79.86,86.61,31.11,79.86,83.75,24.64,79.86,84.77,17.93,79.86,86.61,green,#6cbf6c,green,#6cbf6c,-0.38,,,0,,,,0,0,green,green,0,1,green,red,61.47,orange,,20/4/2021,,21/09/2021,4.8,,0,,,100.25,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2,2021-08-11 13:09:54,,04/02/2021,CAG,32.91,33.4,32.84,0,-0.06,0.07,0.0,0.01,2.74,1.44,8.13,32.55,36.98,8.13,32.55,36.98,8.13,32.55,36.98,8.13,32.55,36.98,green,#6cbf6c,green,#6cbf6c,0.0,,,0,,,,0,0,green,green,1,0,red,green,51.43,orange,,29/3/2021,,01/11/2021,1.25,,0,,,33.4,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2,2021-08-11 13:09:54,,04/02/2021,XLF,31.34,38.36,37.79,0,0.03,-0.08,0.0,-0.01,-1.82,1.34,95.56,28.11,31.49,94.36,28.83,31.49,95.4,28.23,31.49,95.56,28.11,31.49,#FF1000,#dc6460,#FF1000,#dc6460,0.58,,,0,,,,0,0,green,green,1,1,red,red,64.26,orange,,,,20/09/2021,0.721,,0,,,38.43,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2,2021-08-11 13:09:54,,08/01/2021,MMM,167.42,199.25,197.65,0,-0.04979754523255004,-0.76,0.0038328022252472663,-0.03975552926651344,-2.0527886703398575,-2.052788670339858,9.35,166.16,179.63,12.3,166.16,176.4,11.15,166.16,177.46,11.15,166.16,177.46,green,#6cbf6c,green,#6cbf6c,-0.32,,,0,,,,0,0,green,green,0,0,green,green,26.75,red,,26/1/2021,,23/08/2021,5.98,,0,,,199.25,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1,2021-08-11 13:09:52,,08/01/2021,CNI,115.1,107.31,107.5,0,0.14463312914957588,0.22,0.019097873904226244,0.03488084092879696,-1.6516259865273604,-1.6516259865273604,97.05,-1.0,115.38,95.79,-1.0,115.38,96.29,-1.0,115.38,96.98,-1.0,115.38,#FF1000,#dc6460,#FF1000,#dc6460,0.53,,,0,,,,0,0,green,green,1,1,red,red,80.62,green,,,,07/09/2021,1.56,,0,,,107.97,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2,2021-08-11 13:09:54,,08/01/2021,WFC,33.47,49.63,48.65,0,0.12093857541365402,0.11,0.015127267180149433,0.026767954132151967,0.2720117787861269,0.2720117787861269,89.51,27.28,34.2,84.88,29.4,34.2,86.56,28.8,34.2,87.48,28.4,34.2,red,#dc6460,red,#dc6460,0.51,,,0,,,,0,0,green,green,0,0,green,green,81.76,green,,15/1/2021,blink-bg,04/11/2021,0.8,,0,,,49.62,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2,2021-08-11 13:09:54,,08/01/2021,VZ,57.92,55.48,55.28,0,-0.10990546611577964,0.1,-0.02143296317581647,-0.005168515417969545,0.026605511598504848,0.026605511598504848,0.12,54.88,61.95,0.31,54.88,59.54,0.17,54.88,60.78,0.13,54.88,61.83,green,#6cbf6c,green,#6cbf6c,-0.56,,,0,,,,0,0,green,green,0,0,green,green,32.71,orange,,26/1/2021,,07/10/2021,2.51,,0,,,55.48,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2,2021-08-11 13:09:54,,08/01/2021,NVS,93.88,92.27,91.82,0,0.11176637133979157,-0.14,0.015398353577349791,0.06366480727690214,0.7301666715910031,0.730166671591004,84.03,84.23,95.11,81.91,84.23,95.11,84.03,84.23,95.11,84.03,84.23,95.11,red,#dc6460,red,#dc6460,0.6,,,0,,,,0,0,green,green,0,0,green,green,63.05,orange,,,,01/03/2022,2.196,,0,,,92.71,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
